age,nbh,cbd,intst,price,rooms,area,land,baths,dist,wind
48,4,3000,1000,60000,7,1660,4578,1,10700,3
83,4,4000,1000,40000,6,2612,8370,2,11000,3
58,4,4000,1000,34000,6,1144,5000,1,11500,3
11,4,4000,1000,63900,5,1136,10000,1,11900,3
48,4,4000,2000,44000,5,1868,10000,1,12100,3
78,4,3000,2000,46000,6,1780,9500,3,10000,3
22,4,4000,2000,56000,6,1700,10878,2,11700,3
78,4,3000,2000,38500,6,1556,3870,2,10200,3
42,4,3000,2000,60500,8,1642,7000,2,10500,3
41,4,3000,2000,55000,5,1443,7950,2,11000,3
78,4,1000,4000,39000,6,1439,4990,1,8600,3
38,0,6000,4000,41000,5,1482,8017,1,12200,3
18,0,5000,4000,50900,6,1290,12538,2,12400,3
32,0,9000,7000,52000,6,1274,7858,1,16800,3
18,0,9000,8000,49000,6,1476,15664,1,17200,3
58,4,2000,3000,80000,7,1838,9249,2,9900,3
56,4,2000,3000,50000,6,1536,10491,2,10000,3
70,4,2000,3000,59000,5,2458,9400,2,10000,3
26,4,3000,4000,42000,4,750,8000,1,10600,3
21,4,4000,4000,71500,5,2106,13370,2,11700,3
24,4,4000,5000,43000,4,1000,8000,1,11700,5
33,4,5000,5000,48000,6,1410,10370,2,12500,5
128,2,14000,14000,37500,7,2346,43560,2,19600,7
15,2,18000,18000,59000,6,1215,44867,1,24000,7
7,2,18000,18000,59000,6,2128,44174,2,22200,7
0,2,16000,17000,94000,7,2290,25250,3,21700,7
0,2,17000,17000,95920,7,2464,48269,3,21700,7
0,2,17000,17000,95000,7,2240,44916,3,21900,7
0,2,17000,17000,95900,7,2464,50808,3,22000,7
1,2,16000,17000,91000,7,2240,53000,3,21600,7
0,2,16000,16000,96900,7,2464,41463,3,21500,7
104,4,2000,4000,47000,8,2576,12568,2,9400,3
18,4,3000,4000,68500,6,1377,12877,2,10200,5
188,0,9000,9000,36000,6,2071,9665,2,16100,5
12,0,8000,8000,90000,7,2352,26890,3,15000,5
178,0,10000,9000,66900,10,1750,12516,2,17100,5
1,4,3000,6000,44000,6,1869,12500,2,6100,3
48,4,2000,6000,43500,6,1490,5000,1,6600,3
56,4,2000,6000,40000,5,1867,5000,1,6800,3
3,4,3000,6000,46000,7,1261,10000,2,6000,3
21,0,3000,5000,48000,5,1038,15431,1,10000,5
12,4,4000,6000,61000,7,1800,13030,2,11200,5
28,4,4000,5000,55500,6,1972,20089,2,11400,5
23,0,6000,7000,63000,6,2089,16935,1,12100,5
148,0,6000,7000,32000,6,1464,29129,2,12500,5
25,0,7000,7000,32000,6,2112,12500,2,14000,5
13,0,12000,12000,82000,6,1964,25182,2,18300,5
18,0,14000,17000,51000,5,1166,45000,1,5200,7
38,1,10000,14000,83000,6,3861,51062,2,8000,11
10,0,14000,16000,100000,7,2252,44000,3,16000,11
8,0,14000,16000,131500,9,2598,44000,3,16000,11
21,0,17000,18000,37500,4,2276,43560,1,22100,7
68,4,3000,6000,49000,6,1875,9790,2,6700,5
13,4,4000,6000,54000,6,1570,8790,2,10700,5
38,0,4000,7000,56900,6,2032,10993,2,5300,5
22,0,4000,8000,62000,6,1318,20550,2,5700,5
21,0,4000,8000,48000,5,1078,21800,2,5800,5
56,4,4000,7000,48000,7,3460,11421,2,5900,5
28,4,3000,7000,53000,5,1592,12700,2,6800,5
54,4,4000,7000,49000,8,915,14000,1,7600,5
28,4,5000,7000,31000,5,925,4585,1,11400,5
14,0,4000,7000,56900,6,1421,21120,2,6800,5
78,0,10000,10000,34000,5,990,1710,1,15600,5
153,0,10000,11000,98000,9,3792,35942,4,16200,5
3,0,12000,12000,85500,7,2544,26726,3,17700,7
0,0,12000,12000,122500,7,2206,50094,3,18500,5
189,1,14000,17000,185000,9,5078,132422,4,14500,11
5,1,17000,19000,67500,5,1358,44775,2,16700,11
8,1,16000,19000,120000,7,2171,44064,3,16200,11
1,1,19000,21000,79000,7,1998,43561,3,19900,11
1,1,18000,21000,77500,7,1998,147668,3,19800,11
26,1,20000,22000,58000,6,1356,544500,2,21000,11
0,1,19000,21000,61900,9,1411,44431,3,20200,11
2,1,19000,21000,79900,7,1540,46174,3,21000,11
0,1,20000,22000,62400,7,1296,46609,2,20900,11
1,1,22000,24000,89500,7,2240,43560,2,23000,11
0,6,21000,23000,89500,7,2436,43560,3,23100,11
0,6,22000,24000,94900,7,2384,43560,3,23200,11
0,6,24000,26000,85900,6,1862,56392,2,27100,11
0,6,24000,26000,92900,7,2036,49737,3,27000,11
0,6,24000,26000,84900,7,2082,43958,3,27000,11
0,6,24000,26000,85900,7,1962,44465,3,26700,11
0,6,24000,26000,85900,7,2286,43996,3,26600,11
